source language,target language,translation engine,is preferred engine?
Yandex,pt,Yandex,False
Yandex,ro,Yandex,False
Yandex,ru,Yandex,False
Yandex,sah,Yandex,False
Yandex,sh,Yandex,False
Yandex,si,Yandex,False
Yandex,simple,Yandex,False
Yandex,sk,Yandex,False
Yandex,sl,Yandex,False
Yandex,sq,Yandex,False
Yandex,sr,Yandex,False
Yandex,su,Yandex,False
Yandex,sv,Yandex,False
Yandex,sw,Yandex,False
Yandex,ta,Yandex,False
Yandex,te,Yandex,False
Yandex,tg,Yandex,False
Yandex,th,Yandex,False
Yandex,tl,Yandex,False
Yandex,tr,Yandex,False
Yandex,tt,Yandex,False
Yandex,udm,Yandex,False
Yandex,uk,Yandex,False
Yandex,ur,Yandex,False
Yandex,uz,Yandex,False
Yandex,vi,Yandex,False
Yandex,wuu,Yandex,False
Yandex,xh,Yandex,False
Yandex,yi,Yandex,False
Yandex,zh,Yandex,False
en,zh,Youdao,False
en,wuu,Youdao,False
